TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL
5.9837,5.469083333333334,5.398333333333333,5.782083333333333,4.989583333333334,5.270111111111111,5.485368421052631,5.478588235294118,5.973764705882353,6.1356666666666655,5.816928571428572,5.617083333333333,6.162999999999999,5.696923076923076,5.756142857142857,5.5992,5.9079,5.597666666666666,6.607583333333333,5.395666666666667,6.8678750000000015,6.321875,6.555933333333334,5.993916666666667,6.989692307692309,6.496857142857144,6.649416666666667,6.362615384615385,5.447333333333333,6.078875,6.772999999999999,6.673,6.1907,6.6754999999999995,6.1739999999999995,7.3855,6.0602857142857145,6.221428571428572,6.3908000000000005,6.5958,6.950142857142858
5.215333333333333,5.583666666666667,5.616142857142857,5.419250000000001,5.525473684210525,5.16005,5.597833333333333,5.657238095238095,5.4173,6.339222222222222,5.924714285714286,5.610666666666667,5.2509999999999994,5.673750000000001,5.374666666666666,5.9070625,5.2791250000000005,5.946941176470588,6.644857142857142,5.7235555555555555,6.670400000000001,6.231363636363636,6.383500000000001,6.601400000000001,6.70342857142857,7.048500000000001,6.385705882352942,6.9041578947368425,6.655999999999998,6.254538461538461,6.071454545454546,6.397833333333332,6.455333333333334,6.228700000000001,6.346166666666666,6.546199999999999,7.256555555555555,6.102583333333334,6.854857142857142,6.298666666666667,6.308454545454544
5.3885000000000005,6.1596,5.224545454545455,5.620000000000001,5.276866666666666,5.498653846153845,5.727833333333333,5.963846153846154,5.974272727272728,5.403777777777777,5.815874999999999,5.429153846153847,5.878,5.943437499999998,6.475923076923076,5.495166666666667,5.798499999999999,6.0254166666666675,5.762199999999999,6.181749999999999,6.029300000000001,6.542923076923076,6.854666666666667,6.9388571428571435,6.8881,6.896600000000001,6.931666666666667,6.631374999999999,6.388,6.90975,6.433583333333334,7.329444444444444,6.67875,6.454866666666667,6.667384615384615,6.363181818181818,7.064099999999999,6.8735,6.53875,6.291000000000001,6.5858823529411765
5.5158571428571435,6.201428571428572,5.6434,5.9642,5.518411764705881,5.300066666666667,5.7104347826086945,5.565392857142856,5.5885333333333325,5.8268571428571425,5.549999999999999,5.275083333333334,5.281866666666668,5.612857142857143,6.239714285714287,6.2485,6.05025,6.243866666666666,6.315421052631579,6.2694374999999996,5.6406363636363634,6.372857142857142,6.861272727272728,6.717666666666668,6.9151,6.604777777777779,7.1928888888888896,6.511440000000001,6.5018666666666665,6.886500000000001,7.059363636363636,6.650111111111111,6.815699999999998,6.49075,7.141333333333333,6.247000000000001,6.915157894736843,6.935142857142857,6.818894736842105,6.973071428571429,7.144799999999999
6.212,5.091166666666667,5.584785714285714,5.687999999999999,5.947333333333333,5.581619047619048,5.920750000000001,5.62804761904762,6.024157894736843,5.993,5.632833333333333,5.908199999999999,5.915785714285714,6.2928749999999996,6.128384615384614,5.775466666666667,5.656933333333333,5.820437500000001,6.78575,6.566533333333333,5.656846153846155,6.269157894736841,6.279111111111111,6.3745,6.2233125000000005,6.886466666666666,6.754307692307693,6.6086,6.87721052631579,6.465181818181818,6.556125,6.754666666666667,7.0764,6.535111111111111,6.599636363636364,6.357333333333334,6.3402,6.604933333333334,7.006909090909091,6.4708749999999995,7.258416666666666
6.6622,6.3301,6.183666666666667,5.524800000000001,5.403916666666667,5.6666842105263155,5.911263157894738,5.642842105263157,5.924636363636364,6.1342500000000015,5.895777777777778,6.730333333333333,6.162812499999999,6.190333333333333,6.184944444444444,5.8554666666666675,5.8759999999999994,5.521384615384616,6.282238095238095,5.937684210526316,6.1911538461538465,6.076571428571429,6.322722222222223,6.661470588235293,6.889157894736844,6.982230769230768,6.2,6.165210526315788,6.609192307692307,6.792066666666667,6.4788421052631575,6.719833333333334,6.674428571428571,6.9007000000000005,6.6446250000000004,6.20385,7.296222222222222,6.1306111111111115,6.307625,6.850153846153845,6.543500000000001
6.348,5.939285714285715,6.0120000000000005,5.573166666666666,5.995687499999999,5.734846153846154,5.94269230769231,5.86496,6.324434782608696,6.118416666666668,5.887666666666666,5.8518333333333326,6.89725,5.72364705882353,5.735352941176472,6.230607142857143,5.913954545454545,6.447923076923076,5.667166666666666,6.147904761904762,6.585894736842105,6.26175,6.546714285714286,6.3245555555555555,6.102583333333334,7.032307692307692,7.0442777777777765,6.6256,6.485862068965516,6.302739130434784,6.848866666666666,6.8776666666666655,6.610894736842104,6.978,6.744071428571429,6.968416666666666,6.451124999999999,7.208461538461539,6.739541666666668,6.939642857142857,6.695499999999999
5.6708750000000006,6.0022,5.289166666666667,5.8104375,5.463611111111111,6.158789473684211,6.030764705882354,6.054714285714286,5.732888888888889,6.430071428571429,6.202421052631578,5.891400000000001,5.881,6.281285714285715,6.2941666666666665,6.326666666666667,6.073100000000002,6.373772727272726,6.6577,6.259333333333334,6.2965294117647055,5.692764705882353,6.8974,6.741555555555555,6.238533333333332,6.360578947368421,7.2612999999999985,6.587000000000001,6.247388888888889,6.343055555555555,6.693863636363637,6.892894736842104,7.231315789473685,6.2742,6.596961538461538,6.500733333333332,6.3854999999999995,6.363055555555556,6.797699999999999,7.092368421052633,6.7749999999999995
6.396666666666667,5.9732,5.911416666666665,5.805923076923076,5.8773684210526325,5.76295652173913,5.9164666666666665,5.8786,6.49045,6.014133333333333,6.4705,5.9586875,6.499999999999998,5.989363636363637,6.043190476190477,6.489800000000001,6.448103448275862,6.057043478260868,6.415304347826088,6.187687499999999,6.403555555555555,6.58111111111111,6.330863636363637,6.866529411764706,6.4780625,7.271368421052632,6.8934999999999995,6.877785714285715,6.811384615384615,5.8440555555555544,6.4627,6.409117647058823,7.156160000000001,6.38925,6.231444444444445,6.917636363636363,6.453214285714286,6.944117647058825,6.532823529411765,7.132900000000001,6.848565217391306
4.768000000000001,,5.595,6.114133333333332,5.9449375,5.8711,6.1127,5.54421052631579,5.866555555555556,6.131666666666666,6.203285714285714,6.234181818181818,5.924785714285713,6.2920833333333315,6.069736842105264,6.268190476190478,6.293333333333335,6.205413793103448,6.00847619047619,6.379166666666665,7.0137142857142845,6.450466666666666,6.4058636363636365,6.344052631578947,6.7804705882352945,7.7971111111111115,6.7190625,6.536052631578948,7.50664705882353,7.0674117647058825,6.62121052631579,6.510846153846154,6.810217391304349,7.071,6.50788888888889,6.427357142857142,7.009947368421052,6.250357142857141,7.1394666666666655,6.9395,7.156999999999999
